state_usps,technology_label,locations_served,unique_providers,median_max_down_mbps,median_max_up_mbps
MT,GSO Satellite,1415897,3,50.0,4.0
MT,Other,796250,16,25.0,5.0
MT,LEO Satellite,490379,1,280.0,30.0
MT,DSL (Copper),316785,18,10.0,1.0
MT,Cable,267654,5,1000.0,35.0
MT,Fixed Wireless,258498,24,100.0,32.0
MT,Fiber,215102,42,1000.0,1000.0
NC,GSO Satellite,13143566,2,100.0,4.0
NC,Other,8169223,9,25.0,3.0
NC,LEO Satellite,4381390,1,280.0,30.0
NC,Fiber,3789193,69,5000.0,5000.0
NC,Cable,3659891,22,1000.0,35.0
NC,DSL (Copper),2026675,31,10.0,1.0
NC,Fixed Wireless,357736,15,25.0,10.0
NJ,GSO Satellite,7750029,2,50.0,4.0
NJ,Other,5005873,6,25.0,3.0
NJ,Fiber,3991930,25,8000.0,8000.0
NJ,Cable,2659689,7,1200.0,35.0
NJ,LEO Satellite,2583442,1,280.0,30.0
NJ,DSL (Copper),65253,11,0.0,0.0
NJ,Fixed Wireless,103,2,10.0,1.0
